ID,Prob1
648, 0.23
649, 0.28
650, 0.37
651, 0.24
652, 0.77
653, 0.31
654, 0.23
655, 0.26
656, 0.23
657, 0.65
658, 0.43
659, 0.29
660, 0.66
661, 0.39
662, 0.12
663, 0.19
664, 0.73
665, 0.12
666, 0.26
667, 0.22
668, 0.52
669, 0.24
670, 0.19
671, 0.38
672, 0.24
673, 0.11
674, 0.25
675, 0.42
676, 0.27
677, 0.46
678, 0.25
679, 0.23
680, 0.74
681, 0.26
682, 0.21
683, 0.53
684, 0.27
685, 0.37
686, 0.25
687, 0.14
688, 0.09
689, 0.34
690, 0.62
691, 0.15
692, 0.46
693, 0.32
694, 0.38
695, 0.38
696, 0.27
697, 0.09
698, 0.16
699, 0.36
700, 0.59
701, 0.21
702, 0.14
703, 0.34
704, 0.58
705, 0.70
706, 0.09
707, 0.07
708, 0.25
709, 0.21
710, 0.49
711, 0.82
712, 0.13
713, 0.26
714, 0.42
715, 0.35
716, 0.76
717, 0.27
718, 0.35
719, 0.28
720, 0.33
721, 0.71
722, 0.49
723, 0.32
724, 0.18
725, 0.64
726, 0.28
727, 0.60
728, 0.53
729, 0.48
730, 0.16
731, 0.29
732, 0.20
733, 0.32
734, 0.15
735, 0.35
736, 0.33
737, 0.09
738, 0.84
739, 0.40
740, 0.77
741, 0.45
742, 0.31
743, 0.25
744, 0.54
745, 0.82
746, 0.82
747, 0.46
748, 0.14
749, 0.07
750, 0.09
751, 0.30
752, 0.33
753, 0.18
754, 0.38
755, 0.76
756, 0.19
757, 0.41
758, 0.17
759, 0.42
760, 0.14
761, 0.21
762, 0.39
763, 0.28
764, 0.22
765, 0.33
766, 0.09
767, 0.04
768, 0.19
769, 0.60
770, 0.48
771, 0.11
772, 0.26
773, 0.16
774, 0.22
775, 0.15
776, 0.21
777, 0.18
778, 0.34
779, 0.11
780, 0.68
781, 0.15
782, 0.09
783, 0.12
784, 0.37
785, 0.35
786, 0.33
787, 0.42
788, 0.92
789, 0.16
790, 0.29
791, 0.45
792, 0.41
793, 0.56
794, 0.87
795, 0.27
796, 0.18
797, 0.86
798, 0.84
799, 0.31
800, 0.72
801, 0.23
802, 0.23
803, 0.34
804, 0.44
805, 0.94
806, 0.35
807, 0.27
808, 0.15
809, 0.61
810, 0.31
811, 0.91
812, 0.18
813, 0.31
814, 0.57
815, 0.13
816, 0.18
817, 0.71
818, 0.31
819, 0.27
820, 0.21
821, 0.32
822, 0.18
823, 0.26
824, 0.17
825, 0.28
826, 0.68
827, 0.25
828, 0.34
829, 0.52
830, 0.19
831, 0.34
832, 0.29
833, 0.42
834, 0.29
835, 0.55
836, 0.50
837, 0.13
838, 0.48
839, 0.18
840, 0.27
841, 0.27
842, 0.12
843, 0.42
844, 0.53
845, 0.25
846, 0.33
847, 0.53
848, 0.29
849, 0.71
850, 0.17
851, 0.53
852, 0.60
853, 0.36
854, 0.17
855, 0.32
856, 0.29
857, 0.58
858, 0.27
859, 0.15
860, 0.09
861, 0.08
862, 0.15
863, 0.12
864, 0.31
865, 0.60
866, 0.07
867, 0.39
868, 0.22
869, 0.24
870, 0.47
871, 0.34
872, 0.25
873, 0.47
874, 0.35
875, 0.57
876, 0.34
877, 0.17
878, 0.21
879, 0.21
880, 0.23
881, 0.13
882, 0.18
883, 0.38
884, 0.21
885, 0.18
886, 0.29
887, 0.45
888, 0.47
889, 0.73
890, 0.26
891, 0.31
892, 0.35
893, 0.30
894, 0.30
895, 0.19
896, 0.27
897, 0.38
898, 0.47
899, 0.16
900, 0.69
901, 0.87
902, 0.53
903, 0.30
904, 0.67
905, 0.90
906, 0.51
907, 0.79
908, 0.95
909, 0.31
910, 0.19
911, 0.22
912, 0.26
913, 0.42
914, 0.06
915, 0.27
916, 0.38
917, 0.31
918, 0.35
919, 0.28
920, 0.58
921, 0.51
922, 0.05
923, 0.63
924, 0.75
925, 0.07
926, 0.09
927, 0.37
928, 0.58
929, 0.18
930, 0.16
931, 0.15
932, 0.01
933, 0.35
934, 0.14
935, 0.20
936, 0.24
937, 0.59
938, 0.30
939, 0.50
940, 0.25
941, 0.33
942, 0.86
943, 0.34
944, 0.26
945, 0.19
946, 0.48
947, 0.14
948, 0.23
949, 0.28
950, 0.28
951, 0.73
952, 0.13
953, 0.87
954, 0.36
955, 0.20
956, 0.17
957, 0.06
958, 0.58
959, 0.27
960, 0.33
961, 0.45
962, 0.15
963, 0.26
964, 0.40
965, 0.17
966, 0.56
967, 0.34
968, 0.09
969, 0.35
970, 0.35
971, 0.66
972, 0.34
973, 0.43
974, 0.72
975, 0.46
976, 0.24
977, 0.22
978, 0.36
979, 0.04
980, 0.38
981, 0.56
982, 0.39
983, 0.32
984, 0.16
985, 0.08
986, 0.20
987, 0.24
988, 0.05
989, 0.35
990, 0.19
991, 0.20
992, 0.15
993, 0.22
994, 0.08
995, 0.49
996, 0.49
997, 0.27
998, 0.37
999, 0.15
1000, 0.16
1001, 0.79
1002, 0.58
1003, 0.54
1004, 0.69
1005, 0.19
1006, 0.22
1007, 0.86
1008, 0.18
1009, 0.55
1010, 0.16
1011, 0.74
1012, 0.21
1013, 0.74
1014, 0.50
1015, 0.49
1016, 0.62
1017, 0.62
1018, 0.45
1019, 0.23
1020, 0.43
1021, 0.32
1022, 0.25
1023, 0.92
1024, 0.30
1025, 0.43
1026, 0.37
1027, 0.88
1028, 0.48
1029, 0.37
1030, 0.49
1031, 0.47
1032, 0.34
1033, 0.35
1034, 0.26
1035, 0.58
1036, 0.22
1037, 0.30
1038, 0.32
1039, 0.22
1040, 0.36
1041, 0.33
1042, 0.35
1043, 0.47
1044, 0.53
1045, 0.36
1046, 0.24
1047, 0.07
1048, 0.49
1049, 0.55
1050, 0.11
1051, 0.22
1052, 0.20
1053, 0.11
1054, 0.22
1055, 0.17
1056, 0.16
1057, 0.20
1058, 0.44
1059, 0.54
1060, 0.28
1061, 0.15
1062, 0.54
1063, 0.41
1064, 0.14
1065, 0.37
1066, 0.22
1067, 0.56
1068, 0.26
1069, 0.18
1070, 0.92
1071, 0.34
1072, 0.65
1073, 0.43
1074, 0.20
1075, 0.14
1076, 0.33
1077, 0.32
1078, 0.16
1079, 0.25
1080, 0.32
1081, 0.44
1082, 0.28
1083, 0.24
1084, 0.25
1085, 0.18
1086, 0.14
1087, 0.26
1088, 0.63
1089, 0.44
1090, 0.27
1091, 0.08
1092, 0.14
1093, 0.29
1094, 0.14
1095, 0.27
1096, 0.29
1097, 0.37
1098, 0.29
1099, 0.10
1100, 0.34
1101, 0.27
1102, 0.25
1103, 0.53
1104, 0.46
1105, 0.21
1106, 0.40
1107, 0.28
1108, 0.34
1109, 0.53
1110, 0.58
1111, 0.18
1112, 0.77
1113, 0.16
1114, 0.07
1115, 0.35
1116, 0.38
1117, 0.41
1118, 0.03
1119, 0.39
1120, 0.71
1121, 0.29
1122, 0.35
1123, 0.22
1124, 0.49
1125, 0.26
1126, 0.26
1127, 0.31
1128, 0.19
1129, 0.26
1130, 0.50
1131, 0.19
1132, 0.28
1133, 0.30
1134, 0.71
1135, 0.79
1136, 0.57
1137, 0.30
1138, 0.23
1139, 0.49
1140, 0.39
1141, 0.15
1142, 0.26
1143, 0.35
1144, 0.63
1145, 0.17
1146, 0.04
1147, 0.08
1148, 0.15
1149, 0.79
1150, 0.15
1151, 0.37
1152, 0.26
1153, 0.23
1154, 0.19
1155, 0.18
1156, 0.26
1157, 0.16
1158, 0.41
1159, 0.37
1160, 0.41
1161, 0.04
1162, 0.13
1163, 0.25
1164, 0.31
1165, 0.84
1166, 0.27
1167, 0.23
1168, 0.22
1169, 0.28
1170, 0.27
1171, 0.24
1172, 0.34
1173, 0.48
1174, 0.35
1175, 0.29
1176, 0.73
1177, 0.78
1178, 0.32
1179, 0.28
1180, 0.24
1181, 0.43
1182, 0.16
1183, 0.26
1184, 0.43
1185, 0.43
1186, 0.23
1187, 0.22
1188, 0.36
1189, 0.33
1190, 0.24
1191, 0.36
1192, 0.24
1193, 0.42
1194, 0.21
1195, 0.21
1196, 0.19
1197, 0.40
1198, 0.44
1199, 0.28
1200, 0.57
1201, 0.17
1202, 0.77
1203, 0.60
1204, 0.16
1205, 0.36
1206, 0.57
1207, 0.37
1208, 0.19
1209, 0.93
1210, 0.43
1211, 0.19
1212, 0.38
1213, 0.19
1214, 0.38
1215, 0.34
1216, 0.25
1217, 0.11
1218, 0.32
1219, 0.10
1220, 0.18
1221, 0.28
1222, 0.43
1223, 0.33
1224, 0.14
1225, 0.20
1226, 0.30
1227, 0.32
1228, 0.18
1229, 0.57
1230, 0.07
1231, 0.59
1232, 0.17
1233, 0.55
1234, 0.21
1235, 0.10
1236, 0.15
1237, 0.40
1238, 0.19
1239, 0.73
1240, 0.31
1241, 0.51
1242, 0.83
1243, 0.24
1244, 0.11
1245, 0.57
1246, 0.43
1247, 0.91
1248, 0.38
1249, 0.14
1250, 0.46
1251, 0.24
1252, 0.37
1253, 0.14
1254, 0.49
1255, 0.22
1256, 0.32
1257, 0.22
1258, 0.23
1259, 0.35
1260, 0.27
1261, 0.29
1262, 0.25
1263, 0.24
1264, 0.07
1265, 0.05
1266, 0.38
1267, 0.23
1268, 0.31
1269, 0.24
1270, 0.37
1271, 0.43
1272, 0.25
1273, 0.37
1274, 0.08
1275, 0.19
1276, 0.20
1277, 0.08
1278, 0.62
1279, 0.20
1280, 0.31
1281, 0.12
1282, 0.27
1283, 0.40
1284, 0.23
1285, 0.21
1286, 0.09
1287, 0.41
1288, 0.11
1289, 0.10
1290, 0.48
1291, 0.65
1292, 0.04
1293, 0.60
1294, 0.68
1295, 0.22
1296, 0.27
1297, 0.08
1298, 0.21
1299, 0.29
1300, 0.21
1301, 0.15
1302, 0.37
1303, 0.11
1304, 0.25
1305, 0.47
1306, 0.16
1307, 0.50
1308, 0.08
1309, 0.30
1310, 0.23
1311, 0.35
1312, 0.62
1313, 0.21
1314, 0.11
1315, 0.12
1316, 0.16
1317, 0.28
1318, 0.23
1319, 0.18
1320, 0.38
1321, 0.24
1322, 0.48
1323, 0.19
1324, 0.58
1325, 0.45
1326, 0.16
1327, 0.47
1328, 0.32
1329, 0.09
1330, 0.20
1331, 0.30
1332, 0.21
1333, 0.17
1334, 0.35
1335, 0.18
1336, 0.18
1337, 0.19
1338, 0.11
1339, 0.46
1340, 0.33
1341, 0.66
1342, 0.76
1343, 0.86
1344, 0.33
1345, 0.25
1346, 0.14
1347, 0.43
1348, 0.18
1349, 0.33
1350, 0.11
1351, 0.33
1352, 0.03
1353, 0.36
1354, 0.25
1355, 0.25
1356, 0.42
1357, 0.47
1358, 0.25
1359, 0.11
1360, 0.60
1361, 0.32
1362, 0.44
1363, 0.26
1364, 0.32
1365, 0.59
1366, 0.61
1367, 0.42
1368, 0.18
1369, 0.43
1370, 0.30
1371, 0.38
1372, 0.40
1373, 0.33
1374, 0.29
1375, 0.48
1376, 0.41
1377, 0.07
1378, 0.12
1379, 0.79
1380, 0.13
1381, 0.89
1382, 0.25
1383, 0.41
1384, 0.41
1385, 0.24
1386, 0.41
1387, 0.41
1388, 0.39
1389, 0.44
1390, 0.59
1391, 0.43
1392, 0.33
1393, 0.58
1394, 0.24
1395, 0.09
1396, 0.47
1397, 0.39
1398, 0.28
1399, 0.46
1400, 0.35
1401, 0.24
1402, 0.35
1403, 0.26
1404, 0.93
1405, 0.16
1406, 0.53
1407, 0.50
1408, 0.36
1409, 0.55
1410, 0.42
1411, 0.47
1412, 0.22
1413, 0.08
1414, 0.13
1415, 0.20
1416, 0.27
1417, 0.29
1418, 0.34
1419, 0.27
1420, 0.29
1421, 0.29
1422, 0.38
1423, 0.19
1424, 0.62
1425, 0.20
1426, 0.31
1427, 0.24
1428, 0.06
1429, 0.32
1430, 0.26
1431, 0.09
1432, 0.24
1433, 0.28
1434, 0.36
1435, 0.39
1436, 0.33
1437, 0.35
1438, 0.17
1439, 0.19
1440, 0.30
1441, 0.35
1442, 0.43
1443, 0.18
1444, 0.12
1445, 0.41
1446, 0.28
1447, 0.25
1448, 0.39
1449, 0.25
1450, 0.13
1451, 0.28
1452, 0.19
1453, 0.11
1454, 0.13
1455, 0.07
1456, 0.07
1457, 0.39
1458, 0.52
1459, 0.44
1460, 0.33
1461, 0.19
1462, 0.36
1463, 0.21
1464, 0.74
1465, 0.41
1466, 0.14
1467, 0.19
1468, 0.76
1469, 0.53
1470, 0.14
1471, 0.29
1472, 0.57
1473, 0.07
1474, 0.20
1475, 0.74
1476, 0.21
1477, 0.32
1478, 0.27
1479, 0.52
1480, 0.21
1481, 0.48
1482, 0.43
1483, 0.20
1484, 0.46
1485, 0.11
1486, 0.20
1487, 0.33
1488, 0.32
1489, 0.25
1490, 0.09
1491, 0.91
1492, 0.31
1493, 0.30
1494, 0.48
1495, 0.65
1496, 0.94
1497, 0.18
1498, 0.18
1499, 0.48
1500, 0.65
1501, 0.33
1502, 0.29
1503, 0.78
1504, 0.27
1505, 0.19
1506, 0.06
1507, 0.43
1508, 0.17
1509, 0.28
1510, 0.25
1511, 0.17
1512, 0.18
1513, 0.14
1514, 0.32
1515, 0.09
1516, 0.38
1517, 0.45
1518, 0.23
1519, 0.25
1520, 0.14
1521, 0.74
1522, 0.15
1523, 0.23
1524, 0.26
1525, 0.47
1526, 0.47
1527, 0.32
1528, 0.33
1529, 0.51
1530, 0.80
1531, 0.34
1532, 0.42
1533, 0.23
1534, 0.30
1535, 0.30
1536, 0.02
1537, 0.88
1538, 0.55
1539, 0.39
1540, 0.30
1541, 0.25
1542, 0.14
1543, 0.25
1544, 0.20
1545, 0.59
1546, 0.21
1547, 0.33
1548, 0.21
1549, 0.68
1550, 0.22
1551, 0.38
1552, 0.35
1553, 0.26
1554, 0.57
1555, 0.85
1556, 0.08
1557, 0.70
1558, 0.96
1559, 0.41
1560, 0.29
1561, 0.19
1562, 0.67
1563, 0.37
1564, 0.60
1565, 0.79
1566, 0.19
1567, 0.30
1568, 0.52
1569, 0.21
1570, 0.24
1571, 0.11
1572, 0.25
1573, 0.48
1574, 0.36
1575, 0.26
1576, 0.32
1577, 0.35
1578, 0.14
1579, 0.27
1580, 0.34
1581, 0.29
1582, 0.23
1583, 0.91
1584, 0.22
1585, 0.83
1586, 0.08
1587, 0.49
1588, 0.88
1589, 0.32
1590, 0.57
1591, 0.29
1592, 0.23
1593, 0.42
1594, 0.35
1595, 0.39
1596, 0.15
1597, 0.74
1598, 0.42
1599, 0.24
1600, 0.62
1601, 0.93
1602, 0.31
1603, 0.36
1604, 0.35
1605, 0.15
1606, 0.63
1607, 0.20
1608, 0.09
1609, 0.13
1610, 0.26
1611, 0.26
1612, 0.21
1613, 0.37
1614, 0.19
1615, 0.44
1616, 0.21
1617, 0.66
1618, 0.10
1619, 0.76
1620, 0.54
1621, 0.96
1622, 0.34
1623, 0.25
1624, 0.56
1625, 0.24
1626, 0.32
1627, 0.15
1628, 0.15
1629, 0.26
1630, 0.44
1631, 0.56
1632, 0.66
1633, 0.46
1634, 0.26
1635, 0.50
1636, 0.12
1637, 0.32
1638, 0.28
1639, 0.17
1640, 0.34
1641, 0.23
1642, 0.52
1643, 0.36
1644, 0.44
1645, 0.27
1646, 0.92
1647, 0.87
1648, 0.37
1649, 0.57
1650, 0.47
1651, 0.58
1652, 0.43
1653, 0.11
1654, 0.58
1655, 0.17
1656, 0.29
1657, 0.11
1658, 0.38
1659, 0.38
1660, 0.27
1661, 0.34
1662, 0.34
1663, 0.10
1664, 0.23
1665, 0.35
1666, 0.28
1667, 0.20
1668, 0.47
1669, 0.44
1670, 0.59
1671, 0.40
1672, 0.43
1673, 0.23
1674, 0.56
1675, 0.37
1676, 0.53
1677, 0.47
1678, 0.15
1679, 0.38
1680, 0.55
1681, 0.38
1682, 0.61
1683, 0.30
1684, 0.31
1685, 0.34
1686, 0.63
1687, 0.27
1688, 0.28
1689, 0.24
1690, 0.19
1691, 0.13
1692, 0.87
1693, 0.79
1694, 0.63
1695, 0.34
1696, 0.20
1697, 0.25
1698, 0.48
1699, 0.28
1700, 0.44
1701, 0.30
1702, 0.49
1703, 0.23
1704, 0.55
1705, 0.74
1706, 0.57
1707, 0.17
1708, 0.37
1709, 0.42
1710, 0.56
1711, 0.26
1712, 0.18
1713, 0.39
1714, 0.54
1715, 0.35
1716, 0.33
1717, 0.45
1718, 0.45
1719, 0.27
1720, 0.33
1721, 0.44
1722, 0.16
1723, 0.17
1724, 0.58
1725, 0.35
1726, 0.87
1727, 0.14
1728, 0.82
1729, 0.27
1730, 0.16
1731, 0.05
1732, 0.31
1733, 0.33
1734, 0.03
1735, 0.40
1736, 0.13
1737, 0.43
1738, 0.09
1739, 0.36
1740, 0.26
1741, 0.34
1742, 0.34
1743, 0.48
1744, 0.28
1745, 0.04
1746, 0.47
1747, 0.24
1748, 0.20
1749, 0.24
1750, 0.10
1751, 0.35
1752, 0.09
1753, 0.29
1754, 0.09
1755, 0.26
1756, 0.49
1757, 0.43
1758, 0.14
1759, 0.27
1760, 0.37
1761, 0.62
1762, 0.23
1763, 0.32
1764, 0.32
1765, 0.30
1766, 0.31
1767, 0.65
1768, 0.19
1769, 0.25
1770, 0.17
1771, 0.35
1772, 0.19
1773, 0.20
1774, 0.64
1775, 0.46
1776, 0.61
1777, 0.18
1778, 0.25
1779, 0.54
1780, 0.23
1781, 0.61
1782, 0.37
1783, 0.06
1784, 0.54
1785, 0.21
1786, 0.24
1787, 0.15
1788, 0.33
1789, 0.06
1790, 0.12
1791, 0.53
1792, 0.72
1793, 0.33
1794, 0.16
1795, 0.25
1796, 0.25
1797, 0.73
1798, 0.29
1799, 0.19
1800, 0.13
1801, 0.85
1802, 0.26
1803, 0.14
1804, 0.27
1805, 0.28
1806, 0.20
1807, 0.43
1808, 0.37
1809, 0.39
1810, 0.43
1811, 0.34
1812, 0.18
1813, 0.40
1814, 0.86
1815, 0.25
1816, 0.13
1817, 0.45
1818, 0.50
1819, 0.34
1820, 0.29
1821, 0.53
1822, 0.24
1823, 0.54
1824, 0.07
1825, 0.50
1826, 0.23
1827, 0.34
1828, 0.82
1829, 0.70
1830, 0.27
1831, 0.23
1832, 0.21
1833, 0.38
1834, 0.21
1835, 0.33
1836, 0.74
1837, 0.06
1838, 0.75
1839, 0.64
1840, 0.29
1841, 0.19
1842, 0.26
1843, 0.25
1844, 0.76
1845, 0.43
1846, 0.25
1847, 0.19
1848, 0.24
1849, 0.41
1850, 0.30
1851, 0.27
1852, 0.46
1853, 0.17
1854, 0.14
1855, 0.44
1856, 0.37
1857, 0.22
1858, 0.29
1859, 0.61
1860, 0.40
1861, 0.31
1862, 0.10
1863, 0.54
1864, 0.28
1865, 0.10
1866, 0.17
1867, 0.12
1868, 0.62
1869, 0.81
1870, 0.11
1871, 0.15
1872, 0.32
